anchor_path,positive_path,negative_path
F:\DATASET\VGGFace2\dataset\train\n000002\0040_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000002\0092_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000285\0270_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000062\0231_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000062\0156_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000203\0177_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000340\0264_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000340\0271_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000096\0046_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000162\0104_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000162\0249_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000296\0144_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000501\0302_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000501\0111_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000455\0082_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000190\0305_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000190\0087_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000157\0234_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000312\0149_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000312\0137_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000501\0404_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000321\0279_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000321\0088_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000090\0106_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000168\0085_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000168\0035_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000190\0301_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000391\0245_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000391\0085_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000336\0093_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000437\0160_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000437\0109_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000285\0248_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000334\0180_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000334\0288_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000100\0087_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000233\0036_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000233\0228_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000276\0133_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000051\0226_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000051\0040_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000491\0120_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000427\0048_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000427\0085_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000350\0441_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000011\0426_03.jpg,F:\DATASET\VGGFace2\dataset\train\n000011\0231_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000168\0165_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000395\0403_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000395\0040_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000458\0093_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000268\0093_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000268\0124_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000186\0527_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000133\0293_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000133\0009_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000213\0605_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000221\0356_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000221\0011_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000357\0277_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000266\0353_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000266\0620_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000186\0056_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000189\0001_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000189\0084_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000273\0037_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000310\0202_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000310\0004_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000041\0242_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000060\0272_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000060\0020_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000482\0156_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000258\0003_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000258\0368_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000365\0189_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000262\0085_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000262\0126_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000456\0195_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000152\0024_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000152\0413_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000276\0146_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000328\0073_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000328\0001_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000096\0048_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000320\0437_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000320\0401_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000141\0021_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000493\0110_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000493\0249_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000058\0024_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000141\0265_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000141\0003_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000044\0073_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000034\0234_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000034\0034_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000484\0053_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000052\0028_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000052\0063_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000004\0210_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000042\0074_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000042\0165_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000141\0176_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000417\0191_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000417\0107_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000322\0165_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000209\0026_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000209\0118_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000370\0083_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000096\0047_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000096\0030_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000372\0067_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000007\0133_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000007\0175_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000331\0449_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000254\0065_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000254\0254_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000482\0126_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000013\0147_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000013\0144_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000277\0217_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000223\0341_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000223\0205_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000317\0472_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000322\0091_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000322\0395_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000317\0065_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000484\0223_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000484\0070_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000032\0206_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000164\0114_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000164\0415_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000486\0103_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000310\0207_09.jpg,F:\DATASET\VGGFace2\dataset\train\n000310\0364_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000116\0147_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000247\0203_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000247\0295_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000051\0066_04.jpg
F:\DATASET\VGGFace2\dataset\train\n000117\0062_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000117\0182_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000455\0010_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000437\0027_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000437\0044_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000105\0493_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000011\0293_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000011\0217_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000215\0293_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000435\0435_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000435\0326_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000289\0039_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000325\0146_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000325\0008_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000258\0100_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000357\0335_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000357\0038_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000189\0056_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000439\0037_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000439\0002_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000235\0256_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000211\0231_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000211\0038_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000434\0473_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000088\0254_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000088\0029_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000214\0159_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000321\0412_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000321\0273_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000384\0142_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000041\0249_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000041\0393_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000288\0001_01.jpg
